identifier,name,thumbnail,description,mimetype,url,media,agegroup,domain,curriculargoal,competencies,language,category,sourceorg,audience,keywords,status,learningoutcomes,createdon,lastupdatedon
do_3138318858604216321293,മലയാളം അക്ഷരമാല കാർഡുകൾ (malayalam alphabet cards),https://obj.diksha.gov.in/ntp-content-production/content/do_3138318858604216321293/artifact/do_3138318860341084161262_1688462650840_flash-cards-icon.thumb.jpg,,application/pdf,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_3138318858604216321293/malyalam-alphabet-card.pdf,"[{""mimetype"":""application/pdf"",""url"":""https://obj.diksha.gov.in/ntp-content-production/content/assets/do_3138318858604216321293/malyalam-alphabet-card.pdf""}]",3-6,,,,Malayalam,Activity,NCERT,{Teacher},{മലയാളം അക്ഷരമാല malayalam alphabet},Live,,NOW(),
do_31307453447507148819171,దొర్లడం మరియు జారడం | Part 1/3 | Roll and slide | Telugu | Class 1,https://obj.diksha.gov.in/ntp-content-production/content/do_31307453447507148819171/artifact/ttllogo.thumb.png,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31307453447507148819171/10.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyadbkgt3t47du3mqvzrnzratv4qdrosubfrr22qynbzqna/master.m3u8""}]",3-6,,,,Telugu,Activity,,{Teacher},{DJP deffirent toyes and animalas},Live,,NOW(),
do_31307453443604480016408,వస్తువుల కొలత | Part 3/3 | Size of objects | Telugu | Class 1,https://obj.diksha.gov.in/ntp-content-production/content/do_31307453443604480016408/artifact/ttllogo.thumb.png,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31307453443604480016408/9.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyapebhiuopslxi34vmy47bbr4n6dkcmrmcuvdwz2wfuwva/master.m3u8""}]",6-8,,,,Telugu,Activity,,{Teacher},"{DJP measuring length objects chair length table length,measuring}",Live,,NOW(),
do_31307453438871961616407,వస్తువుల కొలత | Part 2/3 | Size of objects | Telugu | Class 1,https://obj.diksha.gov.in/ntp-content-production/content/do_31307453438871961616407/artifact/ttllogo.thumb.png,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31307453438871961616407/8.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhya56tlkopgnxql7drk7rgazf2nhl5aoaapfvgyjqeuzkha/master.m3u8""}]",3-6,,,,Telugu,Activity,,{Teacher},{DJP measuring lenght objects chair lenght table lenght measuring},Live,,NOW(),
do_31307453430960947216406,వస్తువుల కొలత | Part 1/3 | Size of objects | Telugu | Class 1,https://obj.diksha.gov.in/ntp-content-production/content/do_31307453430960947216406/artifact/ttllogo.thumb.png,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31307453430960947216406/7.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhya3nefpctsocvotvdxexuvw223maxvusvgkepnddgcgtza/master.m3u8""}]",6-8,,,,Telugu,Activity,,{Parent},{DJP measuring lenght objects chair lenght table lenght measuring},Live,,NOW(),
do_31307453422610022415759,వస్తువుల స్థానం | Part 3/3 | Position of Objects | Telugu | Class 1,https://obj.diksha.gov.in/ntp-content-production/content/do_31307453422610022415759/artifact/ttllogo.thumb.png,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31307453422610022415759/6.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyawyrqricullzxgvzuhznwesd2xdf5aqrixbohfbzwmo3a/master.m3u8""}]",6-8,,,,Telugu,Activity,,{Teacher},{DJP measuring lenght objects chair lenght table lenght measuring},Live,,NOW(),
do_31307453417401548817613,వస్తువుల స్థానం | Part 2/3 | Position of Objects | Telugu | Class 1,https://obj.diksha.gov.in/ntp-content-production/content/do_31307453417401548817613/artifact/ttllogo.thumb.png,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31307453417401548817613/5.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyagnxkvolgpcvt5vp7odchiuh4p33ludg5wuk7fsuiab6q/master.m3u8""}]",6-8,,,,Telugu,Activity,,{Teacher},{DJP deffirent things possition objects},Live,,NOW(),
do_31307453409560985618108,వస్తువుల స్థానం | Part 1/3 | Position of Objects | Telugu | Class 1,https://obj.diksha.gov.in/ntp-content-production/content/do_31307453409560985618108/artifact/ttllogo.thumb.png,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31307453409560985618108/4.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhya74lczwbmqn6pi64p5bpkeor7eaucljgqk65jz5kzpmta/master.m3u8""}]",3-6,,,,Telugu,Activity,,{Parent},{DJP deffirent things possition objects},Live,,NOW(),
do_31307453398958080019722,ఏకైక అనురూపత | Part 3/3 | One to one correspondance | Telugu | Class 1,https://obj.diksha.gov.in/ntp-content-production/content/do_31307453398958080019722/artifact/ttllogo.thumb.png,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31307453398958080019722/3.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyadmpvfhprkl7n4vvlykelnhqydv6quizqu2fbx7pg6kgq/master.m3u8""}]",3-6,,,,Telugu,Activity,,{Parent},{DJP deffirent things possition objects},Live,,NOW(),
do_31307453393125376018107,ఏకైక అనురూపత | Part 2/3 | One to one correspondance | Telugu | Class 1,https://obj.diksha.gov.in/ntp-content-production/content/do_31307453393125376018107/artifact/ttllogo.thumb.png,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31307453393125376018107/2.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyapanmbliuf66ttlrrq63jwr44xvbfgkcskncxefggy3wa/master.m3u8""}]",3-6,,,,Telugu,Activity,,{Teacher},{DJP deffirent things possition objects},Live,,NOW(),
