identifier,name,thumbnail,description,mimetype,url,media,agegroup,domain,curriculargoal,competencies,language,category,sourceorg,audience,keywords,status,learningoutcomes,createdon,lastupdatedon
do_31320031184303718413620,వరి పండించే విధానం.,https://obj.diksha.gov.in/ntp-content-production/content/do_31320031184303718413620/artifact/20210122_195823_0000.thumb.png,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31320031184303718413620/vid-20210123-wa0004.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyahfn4g3m5cwvmi4yuo73y5lpc67yk7fy4nsxti3a7ifza/master.m3u8""}]",3-6,,,,Telugu,Songs,P.RAVIKUMAR,{Teacher},"{DJP, Farmer, Paddy, Food,Cultivation of paddy}",Live,,NOW(),
do_31320054532716953613060,vehicles,https://obj.diksha.gov.in/ntp-content-production/content/do_31319555848051916812115/artifact/kisspng-andhra-pradesh-uttar-pradesh-states-and-territorie-andhrapradesh-5acfa205cb64d9.4542598415235568698331.png,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31320054532716953613060/whatsapp-video-2021-01-23-at-3.02.53-pm.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyafxtlftx57hkaymbsl57aopjb6qzj2ccal6v2ej65okja/master.m3u8""}]",6-8,,,,Telugu,Audio Books,ARAGONDA SURYA,{Teacher},"{Roadways, Airways, Bicycle,Scooty, Bike,Autorikshaw,Car, Bus,Lorry, Train, Aeroplane,Travel,Passenger and Goods, DJP}",Live,,NOW(),
do_31319999517576396814642,SMS,https://obj.diksha.gov.in/ntp-content-production/content/do_31319999517576396814642/artifact/13_1566523596446.thumb.jpg,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31319999517576396814642/whatsapp-video-2021-01-21-at-8.27.51-pm.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyaimbkbyhoy2y42fl54m75txh34fwppep7nrx3nmkftdna/master.m3u8""}]",6-8,,,,Telugu,Handbooks for parents,R.V.S.LASKSHMI,{Parent},"{DJP,Corona,Walking, Grocery store,Roads,Home, Safety, Girl, Boy and Uncle.}",Live,,NOW(),
do_31320479675105280015020,INTRODUCTION OF ANIMALS,https://obj.diksha.gov.in/ntp-content-production/content/do_31320479675105280015020/artifact/animals_468_1525693340_1525693340975.thumb.jpg,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31320479675105280015020/whatsapp-video-2021-01-29-at-15.07.21.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyat4324wfypixy6jort4dzvsxdkl5o6sifjyrjiepaslca/master.m3u8""}]",3-6,,,,Telugu,Audio Books,Syamala Rani,{Teacher},"{Animals and their activities, Cat, Dog, Donkey, Horse, Tiger, Elephant,DJP}",Live,,NOW(),
do_31320475048312832014987,పెంపుడు జంతువులు,https://obj.diksha.gov.in/ntp-content-production/content/do_31320475048312832014987/artifact/coweating.thumb.jpg,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31320475048312832014987/whatsapp-video-2021-01-29-at-12.52.39-pm.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyas4d6dbfahm4m6dxhqhemgjtsb6n7o4khgqjvhyigviva/master.m3u8""}]",3-6,,,,Telugu,Activities,Syamala Rani,{Teacher},"{DJP, Domestic Animals,Food domestic animals consume, Cow,Buffalo, Cat, Dog,Hen,Green grass, Dry grass, Milk,Grains,Meat, DJP}",Live,,NOW(),
do_31320537123908812815730,SENSE ORGANS,https://obj.diksha.gov.in/ntp-content-production/content/do_31320537123908812815730/artifact/2defd3284467be3c7277eecac28fd7e6_1496467017031.thumb.jpeg,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31320537123908812815730/untitled-11_1080p_1.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyaqt7dcnqbgsqgqegwgli554hausgobwtemtlqamgwtcja/master.m3u8""}]",6-8,,,,Telugu,Audio Books,D.Jagadeeswara reddy,{Teacher},"{DJP,Sense organs and their functions, Eye,Ear,Nose,Tongue,Skin, See, Hear,Smell, Taste,Touch}",Live,,NOW(),
do_31319495174658457611160,ankelu,https://obj.diksha.gov.in/ntp-content-production/content/do_31319495174658457611160/artifact/img_20210115_161807.thumb.jpg,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31319495174658457611160/untitled-305_1080p.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyabxelief2nnckcdh6piedhegcrepb4wnxpyq3jtt3bu4q/master.m3u8""}]",6-8,,,,Telugu,Songs,Usharani Adusumalli,{Teacher},"{Role of arts, Learning, Numbers, One to Nine numbers,Songs, Stories, Play based learning,DJP}",Live,,NOW(),
do_3134985125630279681111,NUMBERS FROM 0 - 9,https://obj.diksha.gov.in/ntp-content-production/content/do_3134985125630279681111/artifact/do_3134985037625589761523_1647766573419_book.thumb.jpeg,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_3134985125630279681111/numbers-from-0-to-9.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyaer2xhb6q5rk7y744cvpg76tmznbx5hz4tzv75yuz5wxa/master.m3u8""}]",3-6,,,,Telugu,Activities,K RAGHU BABU,{Teacher},"{DJP ,Learning, Numbers 0-9,Items, Flowers,Animals,Kids}",Live,,NOW(),
do_31320491909573836814917,"NUMBERS RHYMES[TELUGU],1ST CLASS,MATHEMATICS.",https://obj.diksha.gov.in/ntp-content-production/content/do_31320491909573836814917/artifact/numbers-images.thumb.png,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31320491909573836814917/numbers-geyam.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyah3wvcax45lsjyrj25mxp5jik6t25xit62dr3jv2s6joa/master.m3u8""}]",3-6,,,,Telugu,Rhymes / Lullabies,nagaraju pedapolu,{Teacher},"{Rhyme, Numbers learning,Items & their count, Song, DJP}",Live,,NOW(),
do_31319463654951321611035,అంకెలు పరిచయం 1 నుండి 9 వరకు,https://obj.diksha.gov.in/ntp-content-production/content/do_31319463654951321611035/artifact/3439cc7424100c45ee74433647f607e4_1496484184298.thumb.jpeg,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31319463654951321611035/ankelu-pricyn-1-v-trgti-viiddiyoo-0-9.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyadl563m4fqw5ri6w7phqjwcd3u4dg7zjr4atvkegvnclq/master.m3u8""}]",3-6,,,,Telugu,Activities,SVA Naidu,{Teacher},"{DJP, Numbers, Introduction, Observation, Counting, Items,Identification}",Live,,NOW(),
